Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Case Repository/Zarflar/Giden Zarflar/Tablodaki Verinin Irsaliyeleri,Chrome 96.0.4664.45,,,2021-11-23 09:50:18,2021-11-23 09:53:32,"3m - 13,347s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:50:18,2021-11-23 09:50:22,"4,049s",PASSED
"runFeatureFile(""Include/features/Zarflar/Giden Zarflar/Tablodaki Verinin Butonlari.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:50:23,2021-11-23 09:53:31,"3m - 8,164s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:53:31,2021-11-23 09:53:32,"0,659s",PASSED
,,,,,,,
Test Cases/Case Repository/Zarflar/Erisim Kontrol,Chrome 96.0.4664.45,,,2021-11-23 09:53:32,2021-11-23 09:57:17,"3m - 45,227s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:53:32,2021-11-23 09:53:36,"4,719s",PASSED
"runFeatureFile(""Include/features/Zarflar/Erisim Kontrol.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:53:37,2021-11-23 09:57:16,"3m - 38,761s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:16,2021-11-23 09:57:17,"0,665s",PASSED
,,,,,,,
Test Cases/Case Repository/Zarflar/Giden Zarflar/UBL-Goster,Chrome 96.0.4664.45,,,2021-11-23 09:57:17,2021-11-23 09:57:58,"41,340s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:17,2021-11-23 09:57:20,"3,495s",PASSED
"runFeatureFile(""Include/features/Zarflar/Giden Zarflar/UBL-Goster.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:57:21,2021-11-23 09:57:57,"36,082s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:57,2021-11-23 09:57:58,"1,128s",PASSED
