Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:05:30,2021-10-15 17:05:30,"0,661s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Olusturma/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 17:05:30,2021-10-15 17:06:04,"33,101s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:05:30,2021-10-15 17:05:35,"4,667s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Olusturma/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:05:36,2021-10-15 17:06:03,"27,225s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:06:03,2021-10-15 17:06:04,"0,670s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 17:06:04,2021-10-15 17:06:46,"42,953s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:06:04,2021-10-15 17:06:09,"5,775s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:06:10,2021-10-15 17:06:46,"35,716s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:06:46,2021-10-15 17:06:46,"0,654s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/GIBe Gonder,Chrome 94.0.4606.81,,,2021-10-15 17:06:46,2021-10-15 17:07:28,"41,063s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:06:46,2021-10-15 17:06:50,"3,409s",PASSED
