Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Internet.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:07:11,2021-11-12 18:08:56,"1m - 44,987s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:08:56,2021-11-12 18:08:56,"0,656s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Hal Komisyoncu,Chrome 95.0.4638.69,,,2021-11-12 18:08:56,2021-11-12 18:10:46,"1m - 49,230s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:08:56,2021-11-12 18:09:01,"4,429s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Hal Komisyoncu.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:09:01,2021-11-12 18:10:45,"1m - 43,874s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:10:45,2021-11-12 18:10:46,"0,678s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Hal Satis,Chrome 95.0.4638.69,,,2021-11-12 18:10:46,2021-11-12 18:12:30,"1m - 44,547s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:10:46,2021-11-12 18:10:49,"3,349s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Hal Satis.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:10:49,2021-11-12 18:12:29,"1m - 40,167s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:12:29,2021-11-12 18:12:30,"0,641s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Iade,Chrome 95.0.4638.69,,,2021-11-12 18:12:30,2021-11-12 18:14:09,"1m - 38,554s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:12:30,2021-11-12 18:12:34,"3,758s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Iade.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:12:34,2021-11-12 18:14:08,"1m - 33,900s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:14:08,2021-11-12 18:14:09,"0,648s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Ihrac Kayitli,Chrome 95.0.4638.69,,,2021-11-12 18:14:09,2021-11-12 18:15:50,"1m - 41,074s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:14:09,2021-11-12 18:14:12,"3,217s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Ihrac Kayitli.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:14:12,2021-11-12 18:15:49,"1m - 37,028s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:15:49,2021-11-12 18:15:50,"0,640s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Istisna,Chrome 95.0.4638.69,,,2021-11-12 18:15:50,2021-11-12 18:16:50,"1m - 0,002s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:15:50,2021-11-12 18:15:53,"3,346s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Istisna.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:15:53,2021-11-12 18:16:49,"55,783s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:16:49,2021-11-12 18:16:50,"0,647s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Ozel Matrah,Chrome 95.0.4638.69,,,2021-11-12 18:16:50,2021-11-12 18:18:23,"1m - 33,766s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:16:50,2021-11-12 18:16:54,"4,058s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Ozel Matrah.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:16:54,2021-11-12 18:18:23,"1m - 28,852s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:18:23,2021-11-12 18:18:23,"0,660s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Satis,Chrome 95.0.4638.69,,,2021-11-12 18:18:23,2021-11-12 18:19:59,"1m - 35,971s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:18:23,2021-11-12 18:18:27,"3,203s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Satis.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:18:27,2021-11-12 18:19:59,"1m - 31,913s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:19:59,2021-11-12 18:19:59,"0,641s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Kagit-Tevkifat,Chrome 95.0.4638.69,,,2021-11-12 18:19:59,2021-11-12 18:21:44,"1m - 44,455s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:19:59,2021-11-12 18:20:05,"5,659s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Kagit-Tevkifat.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:20:05,2021-11-12 18:21:43,"1m - 37,979s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:21:43,2021-11-12 18:21:44,"0,630s",PASSED
